estacionID,fecha,tempaire
AROCP,2023-04-12T00:00:00,32.700,38.300,27.100
BOQCP,2023-04-12T00:00:00,27.500,34.500,20.500
CACCP,2023-04-12T00:00:00,30.250,37.000,23.500
CASCP,2023-04-12T00:00:00,27.500,36.000,19.000
CHICP,2023-04-12T00:00:00,27.750,33.500,22.000
CHMCP,2023-04-12T00:00:00,24.300,34.000,14.600
COOCP,2023-04-12T00:00:00,20.550,25.700,15.400
DESCP,2023-04-12T00:00:00,29.900,36.800,23.000
ELNCP,2023-04-12T00:00:00,30.250,37.000,23.500
ESCCP,2023-04-12T00:00:00,29.000,36.000,22.000
FHACP,2023-04-12T00:00:00,22.000,26.000,18.000
FPZCP,2023-04-12T00:00:00,24.500,31.000,18.000
GRICP,2023-04-12T00:00:00,26.250,33.000,19.500
HUECP,2023-04-12T00:00:00,29.250,35.500,23.000
HUICP,2023-04-12T00:00:00,29.000,37.000,21.000
JAPCP,2023-04-12T00:00:00,27.000,36.000,18.000
JSBCP,2023-04-12T00:00:00,28.250,35.500,21.000
LACCP,2023-04-12T00:00:00,28.250,33.500,23.000
LFLCP,2023-04-12T00:00:00,25.250,32.500,18.000
MALCP,2023-04-12T00:00:00,28.250,34.000,22.500
MAPCP,2023-04-12T00:00:00,29.750,36.500,23.000
PCOCP,2023-04-12T00:00:00,26.500,34.000,19.000
PENCP,2023-04-12T00:00:00,27.500,32.000,23.000
PIJCP,2023-04-12T00:00:00,30.250,37.000,23.500
REFCP,2023-04-12T00:00:00,25.000,35.000,15.000
REVCP,2023-04-12T00:00:00,28.250,36.000,20.500
SAACP,2023-04-12T00:00:00,27.250,32.500,22.000
SAYCP,2023-04-12T00:00:00,27.750,34.000,21.500
SCOCP,2023-04-12T00:00:00,17.250,23.000,11.500
SCRCP,2023-04-12T00:00:00,15.750,22.000,9.500
SDOCP,2023-04-12T00:00:00,28.250,35.000,21.500
SMICP,2023-04-12T00:00:00,27.250,35.500,19.000
SNACP,2023-04-12T00:00:00,25.500,32.000,19.000
TAPCP,2023-04-12T00:00:00,31.000,37.000,25.000
TPICP,2023-04-12T00:00:00,30.500,37.500,23.500
TUXCP,2023-04-12T00:00:00,26.000,33.000,19.000
TXOCP,2023-04-12T00:00:00,26.450,32.100,20.800
YAMCP,2023-04-12T00:00:00,24.250,30.000,18.500
CBRDR,2023-04-12T00:00:00,16.700,27.000,6.500
CNTDR,2023-04-12T00:00:00,20.000,30.000,10.000
FVLDR,2023-04-12T00:00:00,18.200,28.000,8.500
GVCDR,2023-04-12T00:00:00,16.000,24.500,7.500
LHRDR,2023-04-12T00:00:00,30.500,38.000,23.000
PAGDR,2023-04-12T00:00:00,18.000,27.000,9.000
TLHDR,2023-04-12T00:00:00,16.700,27.200,6.200
VHGDR,2023-04-12T00:00:00,16.200,24.500,8.000
VOCDR,2023-04-12T00:00:00,19.500,30.000,9.000
ABSGJ,2023-04-12T00:00:00,21.000,30.000,12.000
ACNGJ,2023-04-12T00:00:00,20.500,31.000,10.000
AEGGJ,2023-04-12T00:00:00,19.000,28.000,10.000
AMCGJ,2023-04-12T00:00:00,17.000,25.000,9.000
APSGJ,2023-04-12T00:00:00,19.500,27.000,12.000
ATBGJ,2023-04-12T00:00:00,22.500,30.000,15.000
BRRGJ,2023-04-12T00:00:00,19.500,28.000,11.000
CLYGJ,2023-04-12T00:00:00,19.500,28.500,10.500
COMGJ,2023-04-12T00:00:00,19.500,30.000,9.000
CORGJ,2023-04-12T00:00:00,17.500,29.000,6.000
CRMGJ,2023-04-12T00:00:00,21.500,30.000,13.000
CRTGJ,2023-04-12T00:00:00,20.500,27.500,13.500
CSRGJ,2023-04-12T00:00:00,17.750,26.000,9.500
CSTGJ,2023-04-12T00:00:00,20.250,29.000,11.500
DHGGJ,2023-04-12T00:00:00,17.000,26.000,8.000
ECBGJ,2023-04-12T00:00:00,18.500,28.000,9.000
ECHGJ,2023-04-12T00:00:00,20.750,30.500,11.000
ECNGJ,2023-04-12T00:00:00,19.500,29.000,10.000
EPLGJ,2023-04-12T00:00:00,22.000,31.000,13.000
GLNGJ,2023-04-12T00:00:00,22.500,27.000,18.000
GTOGJ,2023-04-12T00:00:00,19.850,29.500,10.200
IALGJ,2023-04-12T00:00:00,19.000,29.000,9.000
IRPGJ,2023-04-12T00:00:00,20.500,29.000,12.000
JCRGJ,2023-04-12T00:00:00,19.000,28.000,10.000
LADGJ,2023-04-12T00:00:00,19.500,28.000,11.000
LDYGJ,2023-04-12T00:00:00,19.500,30.000,9.000
LENGJ,2023-04-12T00:00:00,22.000,30.000,14.000
LGVGJ,2023-04-12T00:00:00,19.000,31.000,7.000
OCMGJ,2023-04-12T00:00:00,15.500,24.000,7.000
PERGJ,2023-04-12T00:00:00,18.500,26.500,10.500
PNLGJ,2023-04-12T00:00:00,18.000,26.000,10.000
POZGJ,2023-04-12T00:00:00,15.000,22.000,8.000
PRSGJ,2023-04-12T00:00:00,21.250,31.500,11.000
SFEGJ,2023-04-12T00:00:00,15.500,24.000,7.000
SJLGJ,2023-04-12T00:00:00,19.250,30.000,8.500
SLMGJ,2023-04-12T00:00:00,20.000,29.500,10.500
SLSGJ,2023-04-12T00:00:00,19.000,27.000,11.000
SLVGJ,2023-04-12T00:00:00,20.000,30.500,9.500
SMAGJ,2023-04-12T00:00:00,19.000,25.000,13.000
SMOGJ,2023-04-12T00:00:00,20.000,29.000,11.000
SRTGJ,2023-04-12T00:00:00,18.500,27.500,9.500
TEMGJ,2023-04-12T00:00:00,21.750,31.000,12.500
VDSGJ,2023-04-12T00:00:00,19.500,29.000,10.000
XICGJ,2023-04-12T00:00:00,20.250,27.500,13.000
ACAGR,2023-04-12T00:00:00,28.000,32.000,24.000
AERGR,2023-04-12T00:00:00,23.800,29.800,17.800
AFIGR,2023-04-12T00:00:00,31.000,39.000,23.000
AOMGR,2023-04-12T00:00:00,29.300,35.200,23.500
ATYGR,2023-04-12T00:00:00,28.200,33.000,23.500
CALGR,2023-04-12T00:00:00,30.500,39.000,22.000
CHIGR,2023-04-12T00:00:00,24.000,32.000,16.000
CHLGR,2023-04-12T00:00:00,21.500,29.000,14.000
CNLGR,2023-04-12T00:00:00,28.700,34.000,23.500
CYQGR,2023-04-12T00:00:00,26.000,32.000,20.000
IGLGR,2023-04-12T00:00:00,27.000,35.400,18.700
K21GR,2023-04-12T00:00:00,31.000,38.000,24.000
LCLGR,2023-04-12T00:00:00,28.000,41.000,15.000
ODAGR,2023-04-12T00:00:00,29.300,35.200,23.500
ODZGR,2023-04-12T00:00:00,25.000,32.000,18.000
OLNGR,2023-04-12T00:00:00,25.500,35.000,16.000
OMEGR,2023-04-12T00:00:00,19.500,24.000,15.000
PETGR,2023-04-12T00:00:00,22.500,30.000,15.000
SJEGR,2023-04-12T00:00:00,29.000,34.000,24.000
TAXGR,2023-04-12T00:00:00,20.000,28.000,12.000
TCOGR,2023-04-12T00:00:00,29.000,37.000,21.000
TLPGR,2023-04-12T00:00:00,26.000,34.000,18.000
TXTGR,2023-04-12T00:00:00,26.500,35.000,18.000
VTRGR,2023-04-12T00:00:00,27.000,38.000,16.000
XXHGR,2023-04-12T00:00:00,27.500,37.000,18.000
ZHTGR,2023-04-12T00:00:00,30.000,37.000,23.000
ATCHD,2023-04-12T00:00:00,22.200,26.000,18.500
ENDHD,2023-04-12T00:00:00,18.500,25.000,12.000
HHTHD,2023-04-12T00:00:00,22.500,28.000,17.000
HJTHD,2023-04-12T00:00:00,22.500,26.000,19.000
IXMHD,2023-04-12T00:00:00,19.000,26.000,12.000
MXQHD,2023-04-12T00:00:00,17.000,23.000,11.000
PCOHD,2023-04-12T00:00:00,15.400,21.300,9.400
PERHD,2023-04-12T00:00:00,14.000,19.000,9.000
PRGHD,2023-04-12T00:00:00,15.500,20.000,11.000
PRQHD,2023-04-12T00:00:00,17.500,24.500,10.500
PVAHD,2023-04-12T00:00:00,17.000,22.000,12.000
TLGHD,2023-04-12T00:00:00,16.600,23.000,10.300
TLRHD,2023-04-12T00:00:00,18.500,25.000,12.000
TXMHD,2023-04-12T00:00:00,17.000,26.000,8.000
ZMPHD,2023-04-12T00:00:00,19.400,23.300,15.500
ZXTHD,2023-04-12T00:00:00,15.500,22.000,9.000
ACTJL,2023-04-12T00:00:00,23.200,33.500,13.000
AJJJL,2023-04-12T00:00:00,19.000,33.000,5.000
ATQJL,2023-04-12T00:00:00,23.200,34.000,12.500
BBAJL,2023-04-12T00:00:00,25.000,36.000,14.000
BCSJL,2023-04-12T00:00:00,22.500,35.000,10.000
CGZJL,2023-04-12T00:00:00,22.800,33.600,12.000
CHFJL,2023-04-12T00:00:00,27.000,40.000,14.000
CIHJL,2023-04-12T00:00:00,26.200,32.000,20.500
CPEJL,2023-04-12T00:00:00,27.000,33.500,20.500
CRTJL,2023-04-12T00:00:00,21.000,32.000,10.000
CULJL,2023-04-12T00:00:00,25.200,34.500,16.000
CXTJL,2023-04-12T00:00:00,28.000,40.000,16.000
EGCJL,2023-04-12T00:00:00,22.200,32.500,12.000
ELCJL,2023-04-12T00:00:00,25.000,36.000,14.000
EXPJL,2023-04-12T00:00:00,23.500,34.000,13.000
GUCJL,2023-04-12T00:00:00,23.500,33.600,13.500
HRTJL,2023-04-12T00:00:00,23.500,36.000,11.000
HUAJL,2023-04-12T00:00:00,21.700,31.000,12.500
JMYJL,2023-04-12T00:00:00,20.200,30.500,10.000
LDBJL,2023-04-12T00:00:00,26.200,36.500,16.000
LDCJL,2023-04-12T00:00:00,22.700,28.500,17.000
OLMJL,2023-04-12T00:00:00,20.300,29.800,10.800
PITJL,2023-04-12T00:00:00,23.500,32.000,15.000
RAMJL,2023-04-12T00:00:00,23.000,35.000,11.000
SALJL,2023-04-12T00:00:00,24.700,36.500,13.000
SAUJL,2023-04-12T00:00:00,18.000,29.000,7.000
SGRJL,2023-04-12T00:00:00,18.000,30.000,6.000
TCAJL,2023-04-12T00:00:00,15.700,21.000,10.500
TLAJL,2023-04-12T00:00:00,25.200,34.000,16.500
ZPTJL,2023-04-12T00:00:00,20.700,32.500,9.000
CBLMC,2023-04-12T00:00:00,20.500,31.500,9.500
